ID,type,descr,city,suburb,year,geo
235,Assault,Non-domestic violence related assault,Sydney,REDFERN,2013,POINT (151.20541 -33.89298)
236,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.22606 -33.86702)
237,Assault,Non-domestic violence related assault,Sydney,SURRY HILLS,2013,POINT (151.20678 -33.88635)
238,Assault,Non-domestic violence related assault,Sydney,WATERLOO,2013,POINT (151.20636 -33.89845)
239,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.21772 -33.87617)
242,Assault,Non-domestic violence related assault,Sydney,WOOLLOOMOOLOO,2013,POINT (151.218905 -33.8743)
243,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20617 -33.87639)
245,Assault,Non-domestic violence related assault,Sydney,WOOLLOOMOOLOO,2013,POINT (151.21773 -33.872545)
246,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20999 -33.86968)
247,Assault,Non-domestic violence related assault,Sydney,SURRY HILLS,2013,POINT (151.2083 -33.88342)
248,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.211265 -33.873552)
250,Assault,Non-domestic violence related assault,Sydney,SURRY HILLS,2013,POINT (151.213815 -33.88749)
251,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20161 -33.875665)
252,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.203125 -33.869125)
253,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20972 -33.87466)
254,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20683 -33.87437)
255,Assault,Non-domestic violence related assault,Sydney,REDFERN,2013,POINT (151.20896 -33.89492)
256,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.211426 -33.876834)
257,Assault,Non-domestic violence related assault,Sydney,SURRY HILLS,2013,POINT (151.214082 -33.89145)
259,Assault,Non-domestic violence related assault,Sydney,THE ROCKS,2013,POINT (151.20849 -33.86097)
260,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.22187 -33.87557)
261,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.208188 -33.873662)
262,Assault,Non-domestic violence related assault,Sydney,SURRY HILLS,2013,POINT (151.212795 -33.89155)
263,Assault,Non-domestic violence related assault,Sydney,CHIPPENDALE,2013,POINT (151.20221 -33.88399)
264,Assault,Non-domestic violence related assault,Sydney,HAYMARKET,2013,POINT (151.207362 -33.878777)
265,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.222425 -33.87488)
266,Assault,Non-domestic violence related assault,Sydney,WOOLLOOMOOLOO,2013,POINT (151.218174 -33.873575)
267,Assault,Non-domestic violence related assault,Sydney,WOOLLOOMOOLOO,2013,POINT (151.218174 -33.873575)
268,Assault,Non-domestic violence related assault,Sydney,THE ROCKS,2013,POINT (151.20904 -33.85802)
269,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20822 -33.87077)
270,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.218085 -33.881208)
271,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.223525 -33.87457)
272,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.223525 -33.87457)
273,Assault,Non-domestic violence related assault,Sydney,THE ROCKS,2013,POINT (151.20802 -33.85911)
274,Assault,Non-domestic violence related assault,Sydney,WOOLLOOMOOLOO,2013,POINT (151.21849 -33.87266)
275,Assault,Non-domestic violence related assault,Sydney,WOOLLOOMOOLOO,2013,POINT (151.21849 -33.87266)
276,Assault,Non-domestic violence related assault,Sydney,HAYMARKET,2013,POINT (151.20328 -33.87733)
277,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.2231 -33.874915)
278,Assault,Non-domestic violence related assault,Sydney,SURRY HILLS,2013,POINT (151.21072 -33.880285)
282,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.22177 -33.87573)
283,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20947 -33.87074)
