sa2_code,sa2_name,area_m2,total_cars
107011132,Horsley - Kembla Grange,44.2402,6972.0
107011133,Port Kembla Industrial,12.939,9.0
107011134,Unanderra - Mount Kembla,25.1483,14825.0
107011545,Berkeley - Lake Heights - Cringila,12.5307,9394.0
107011546,Port Kembla - Warrawong,6.9708,7540.0
107011547,Windang - Primbee,5.5883,3070.0
107021135,Illawarra Catchment Reserve,744.3423,6.0
107031136,Albion Park - Macquarie Pass,75.1254,13598.0
107031137,Albion Park Rail,7.1682,6585.0
107031138,Kiama,13.8553,7098.0
107031139,Kiama Downs - Minnamurra,7.261,5387.0
107031140,Kiama Hinterland - Gerringong,222.2611,6751.0
107031141,Shellharbour - Flinders,49.5813,14628.0
107031142,Shellharbour - Oak Flats,6.051,8712.0
107031143,Warilla,9.4949,15344.0
107041144,Balgownie - Fairy Meadow,12.2638,15711.0
107041145,Corrimal - Tarrawanna - Bellambi,11.0648,11171.0
107041146,Figtree - Keiraville,18.8129,15506.0
107041147,Helensburgh,154.8373,7187.0
107041148,Thirroul - Austinmer - Coalcliff,16.1558,8757.0
107041150,Woonona - Bulli - Russell Vale,15.7847,14704.0
107041548,Wollongong - East,5.5039,10169.0
107041549,Wollongong - West,5.6592,12154.0
108011151,Bulahdelah - Stroud,2334.0245,5301.0
108011152,Forster,33.873,12375.0
108011153,Forster-Tuncurry Surrounds,749.4773,5801.0
108011154,Tuncurry,15.6698,5348.0
108021155,Kempsey,195.1561,12905.0
108021156,Kempsey Surrounds,3627.2591,8383.0
108021157,Macksville - Scotts Head,83.793,4647.0
108021158,Nambucca Heads,31.0503,5466.0
108021159,Nambucca Heads Surrounds,1356.0988,7066.0
108021160,South West Rocks,45.9673,4596.0
108031161,Lord Howe Island,16.2918,229.0
108041162,Laurieton - Bonny Hills,524.9062,15460.0
108041164,Port Macquarie - West,54.1668,15313.0
108041165,Port Macquarie Surrounds,2871.7473,5287.0
108041166,Wauchope,194.8611,10766.0
108041619,Port Macquarie - East,7.0934,10088.0
108041620,Port Macquarie - South,34.9946,14627.0
108051167,Gloucester,2933.8676,5088.0
108051168,Old Bar - Manning Point - Red Head,209.6182,9439.0
108051169,Taree,125.1186,18349.0
108051170,Taree Surrounds,3344.9329,11720.0
108051171,Wingham,61.5309,4992.0
109011172,Albury - East,101.484,12248.0
109011173,Albury - North,24.1552,7959.0
109011174,Albury - South,48.1442,8395.0
109011175,Albury Surrounds,5401.7533,11161.0
109011176,Lavington,21.467,11175.0
109021177,Hay,13922.8975,2806.0
109021178,Wentworth - Buronga,322.4567,4251.0
109021179,Wentworth-Balranald Region,49722.5286,2698.0
109031180,Corowa,77.1283,5043.0
109031181,Corowa Surrounds,4495.1557,5651.0
109031182,Deniliquin,143.2081,6574.0
